Inst       Level   Arg     Top     Counter   Base         Stack
CAL        0       57      10      19      6              0 0 0 0 3 0 1 1 82 1 0 
INT        0       5       10      57      11             0 0 0 0 3 0 1 1 82 1 0 6 6 20 0 0 
LIT        0       1       15      58      11             0 0 0 0 3 0 1 1 82 1 0 6 6 20 0 0 1 
STO        1       4       16      59      11             0 0 0 0 3 0 1 1 82 1 1 6 6 20 0 0 
OPR        2       0       15      60      11             0 0 0 0 3 0 1 1 82 1 1 
LOD        0       3       10      20      6              0 0 0 0 3 0 1 1 82 0 1 1 
LOD        0       4       11      21      6              0 0 0 0 3 0 1 1 82 0 0 1 1 
OPR        0       2       12      22      6              0 0 0 0 3 0 1 1 82 0 0 2 
STO        1       4       11      23      6              0 0 0 0 3 2 1 1 82 0 0 
OPR        1       0       10      24      6              0 0 0 0 3 2 
LOD        0       3       5       82      1              0 0 0 0 0 2 3 
LOD        0       4       6       83      1              0 0 0 0 0 0 3 2 
OPR        0       2       7       84      1              0 0 0 0 0 0 5 
STO        0       4       6       85      1              0 0 0 0 0 5 
OPR        0       0       5       86      1              
